"UnitCode","long","lat","tmean.max","year","tmean.max.ym","tmax.max","tmax.max.ym","tmean.min","tmean.min.ym","tmin.min","tmin.min.ym","ppt.max","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,21.419921875,1994,1994-07-01,26.58984375,1994-07-01,-9.91015625,1994-01-01,-15.740234375,1994-01-01,176.349609375,1994-03-01,32.1904296875,1994-02-01
"ACAD",-68.26019,44.376559,20.5703125,1995,1995-07-01,25.9697265625,1995-07-01,-6.4404296875,1995-02-01,-11.3798828125,1995-02-01,266.580078125,1995-11-01,13.8798828125,1995-08-01
"ACAD",-68.26019,44.376559,18.9599609375,1996,1996-08-01,24.2197265625,1996-08-01,-6.2802734375,1996-01-01,-11.0400390625,1996-01-01,254.330078125,1996-12-01,17.16015625,1996-08-01
"ACAD",-68.26019,44.376559,20.1103515625,1997,1997-07-01,26.2001953125,1997-07-01,-6.2001953125,1997-01-01,-11.4501953125,1997-01-01,158.25,1997-01-01,36.080078125,1997-10-01
"ACAD",-68.26019,44.376559,20,1998,1998-07-01,25.509765625,1998-07-01,-3.9599609375,1998-01-01,-7.5302734375,1998-01-01,233.8798828125,1998-01-01,27.4501953125,1998-09-01
"ACAD",-68.26019,44.376559,20.8203125,1999,1999-07-01,26.509765625,1999-07-01,-4.2802734375,1999-01-01,-9.6796875,1999-01-01,212.25,1999-09-01,8.8095703125,1999-04-01
"ACAD",-68.26019,44.376559,18.3095703125,2000,2000-08-01,23.2900390625,2000-07-01,-5.5703125,2000-01-01,-10.7001953125,2000-01-01,171.150390625,2000-04-01,43.2197265625,2000-08-01
"ACAD",-68.26019,44.376559,20.080078125,2001,2001-08-01,25.7001953125,2001-08-01,-6.259765625,2001-01-01,-11.0595703125,2001-01-01,120.26953125,2001-03-01,22.830078125,2001-07-01
"ACAD",-68.26019,44.376559,20.41015625,2002,2002-08-01,26.3095703125,2002-08-01,-2.91015625,2002-12-01,-7.7001953125,2002-02-01,187.6201171875,2002-11-01,27.509765625,2002-08-01
"ACAD",-68.26019,44.376559,19.740234375,2003,2003-08-01,24.240234375,2003-08-01,-9.25,2003-01-01,-13.75,2003-01-01,212.75,2003-10-01,30.9599609375,2003-08-01
"ACAD",-68.26019,44.376559,18.8896484375,2004,2004-08-01,23.26953125,2004-08-01,-10.7900390625,2004-01-01,-15.3701171875,2004-01-01,136.240234375,2004-11-01,17.58984375,2004-01-01
"ACAD",-68.26019,44.376559,19.900390625,2005,2005-08-01,24.900390625,2005-07-01,-7.919921875,2005-01-01,-12.9501953125,2005-01-01,366.2099609375,2005-10-01,39.240234375,2005-07-01
"ACAD",-68.26019,44.376559,21.0302734375,2006,2006-07-01,26.0302734375,2006-07-01,-4.3203125,2006-02-01,-8.6904296875,2006-02-01,280.8701171875,2006-06-01,35.8095703125,2006-03-01
"ACAD",-68.26019,44.376559,18.98046875,2007,2007-07-01,24.2802734375,2007-07-01,-7.509765625,2007-02-01,-12.650390625,2007-02-01,236.150390625,2007-04-01,65.6796875,2007-02-01
"ACAD",-68.26019,44.376559,20.6103515625,2008,2008-07-01,25.6298828125,2008-07-01,-3.4599609375,2008-01-01,-7.9404296875,2008-02-01,267.08984375,2008-09-01,33.830078125,2008-05-01
"ACAD",-68.26019,44.376559,20.6103515625,2008,2008-07-01,25.6298828125,2008-07-01,-3.4599609375,2008-02-01,-7.9404296875,2008-02-01,267.08984375,2008-09-01,33.830078125,2008-05-01
"ACAD",-68.26019,44.376559,19.7998046875,2009,2009-08-01,24.8203125,2009-08-01,-8.2802734375,2009-01-01,-13.6796875,2009-01-01,243.7900390625,2009-06-01,63.669921875,2009-09-01
"ACAD",-68.26019,44.376559,20.8603515625,2010,2010-07-01,25.9501953125,2010-07-01,-3.4404296875,2010-01-01,-7.580078125,2010-01-01,204.400390625,2010-10-01,45.509765625,2010-04-01
"ACAD",-68.26019,44.376559,20.8603515625,2011,2011-07-01,26.4404296875,2011-07-01,-5.3896484375,2011-01-01,-9.849609375,2011-02-01,193.98046875,2011-10-01,46.650390625,2011-07-01
"ACAD",-68.26019,44.376559,20.900390625,2012,2012-07-01,26.4404296875,2012-07-01,-3.400390625,2012-01-01,-8.26953125,2012-01-01,188.4599609375,2012-06-01,32.41015625,2012-11-01
"ACAD",-68.26019,44.376559,21.150390625,2013,2013-07-01,26.48046875,2013-07-01,-4.7001953125,2013-01-01,-9.4501953125,2013-01-01,156.7900390625,2013-06-01,26.6396484375,2013-10-01
"ACAD",-68.26019,44.376559,20.400390625,2014,2014-07-01,25.4501953125,2014-07-01,-5.26953125,2014-01-01,-10.2998046875,2014-01-01,219.580078125,2014-12-01,36.8095703125,2014-09-01
